Date,Open*,High,Low,Close**,Volume,Market Cap
"Jan 26, 2020",0.043247,0.044633,0.042995,0.044581,"62,759,585","1,155,846,119"
"Jan 25, 2020",0.044968,0.045185,0.043071,0.043248,"57,389,976","1,121,299,567"
"Jan 24, 2020",0.04338,0.045243,0.041448,0.045004,"77,503,651","1,166,815,356"
"Jan 23, 2020",0.045659,0.045814,0.042231,0.043334,"75,034,253","1,123,513,004"
"Jan 22, 2020",0.045939,0.046335,0.045313,0.045654,"67,145,740","1,183,664,601"
"Jan 21, 2020",0.043811,0.046548,0.043469,0.045989,"95,915,865","1,192,372,176"
"Jan 20, 2020",0.04192,0.044296,0.04192,0.043873,"70,100,648","1,137,486,373"
"Jan 19, 2020",0.044851,0.045765,0.041412,0.041979,"91,187,159","1,088,389,472"
"Jan 18, 2020",0.044985,0.045544,0.043239,0.044851,"89,192,476","1,162,863,289"
"Jan 17, 2020",0.041435,0.045679,0.041106,0.044978,"106,282,894","1,166,155,737"
"Jan 16, 2020",0.042572,0.043091,0.040224,0.041391,"76,686,221","1,073,150,540"
"Jan 15, 2020",0.04158,0.042958,0.040407,0.042553,"111,350,540","1,103,270,947"
"Jan 14, 2020",0.037041,0.042219,0.036969,0.04166,"125,280,206","1,080,110,770"
"Jan 13, 2020",0.037696,0.037944,0.036776,0.036966,"56,296,775","958,419,140"
"Jan 12, 2020",0.036821,0.037748,0.03658,0.03769,"56,546,260","977,200,922"
"Jan 11, 2020",0.036854,0.037579,0.036522,0.036825,"63,485,488","954,771,091"
"Jan 10, 2020",0.036335,0.03698,0.034807,0.036874,"47,483,943","956,027,830"
"Jan 09, 2020",0.036445,0.036445,0.035673,0.036359,"26,562,776","942,675,508"
"Jan 08, 2020",0.037055,0.038551,0.036015,0.036435,"49,193,345","944,645,770"
"Jan 07, 2020",0.037291,0.037807,0.036653,0.037047,"51,562,680","960,513,017"
"Jan 06, 2020",0.034751,0.037299,0.034674,0.037272,"37,988,444","966,352,558"
"Jan 05, 2020",0.034574,0.035356,0.034545,0.034721,"21,479,178","900,224,706"
"Jan 04, 2020",0.034191,0.034685,0.033872,0.034595,"29,535,781","896,939,967"
"Jan 03, 2020",0.032748,0.034427,0.032491,0.03418,"30,162,644","886,177,804"
"Jan 02, 2020",0.033474,0.033507,0.032448,0.032751,"20,843,934","849,142,417"
"Jan 01, 2020",0.032832,0.033813,0.032704,0.033458,"22,948,374","867,464,516"
"Dec 31, 2019",0.033607,0.033898,0.032794,0.032845,"25,320,349","851,576,357"
"Dec 30, 2019",0.034278,0.034595,0.033493,0.033594,"21,940,559","871,003,591"
"Dec 29, 2019",0.033637,0.03469,0.03339,0.034284,"23,696,263","888,882,224"
"Dec 28, 2019",0.033095,0.034211,0.033079,0.033632,"23,018,616","871,982,592"
"Dec 27, 2019",0.034279,0.034427,0.032226,0.0331,"42,498,574","858,176,174"
"Dec 26, 2019",0.033745,0.034768,0.033544,0.034281,"28,317,661","888,809,775"
"Dec 25, 2019",0.034185,0.034409,0.033251,0.033728,"19,588,981","874,464,722"
"Dec 24, 2019",0.033195,0.03505,0.032905,0.034162,"30,932,186","885,711,476"
"Dec 23, 2019",0.034441,0.034584,0.03316,0.0332,"36,538,150","860,781,223"
"Dec 22, 2019",0.033265,0.034495,0.033212,0.034466,"24,856,106","893,609,680"
"Dec 21, 2019",0.034,0.034074,0.03294,0.033262,"25,280,467","862,385,606"
"Dec 20, 2019",0.033264,0.034009,0.032871,0.034004,"32,935,799","881,632,550"
"Dec 19, 2019",0.034456,0.034793,0.033067,0.033251,"43,861,871","862,099,887"
"Dec 18, 2019",0.031794,0.034662,0.030885,0.034462,"61,099,755","893,501,578"
"Dec 17, 2019",0.034269,0.034285,0.031296,0.0318,"54,217,973","824,492,977"
"Dec 16, 2019",0.036662,0.036716,0.033589,0.034269,"41,961,581","888,497,640"
"Dec 15, 2019",0.036449,0.036803,0.034808,0.036653,"28,289,227","950,315,361"
"Dec 14, 2019",0.03716,0.037527,0.036087,0.036427,"39,951,085","944,448,824"
"Dec 13, 2019",0.036719,0.037372,0.036628,0.037108,"42,557,714","962,105,881"
"Dec 12, 2019",0.036652,0.036931,0.036249,0.036723,"41,806,143","952,124,839"
"Dec 11, 2019",0.036602,0.037326,0.036322,0.036655,"46,812,214","950,360,040"
"Dec 10, 2019",0.037474,0.037556,0.036295,0.036606,"32,469,759","949,093,013"
"Dec 09, 2019",0.038932,0.038974,0.037422,0.037483,"31,176,739","971,820,730"
"Dec 08, 2019",0.038753,0.039241,0.038386,0.038948,"25,653,004","1,009,798,192"
"Dec 07, 2019",0.038312,0.039249,0.038195,0.038757,"30,151,245","1,004,866,554"
"Dec 06, 2019",0.037879,0.038323,0.037478,0.038317,"30,049,656","993,455,158"
"Dec 05, 2019",0.037402,0.038979,0.036969,0.037871,"39,975,672","981,893,636"
"Dec 04, 2019",0.037906,0.038533,0.03655,0.037405,"51,692,274","969,802,335"
"Dec 03, 2019",0.038047,0.038761,0.037226,0.037917,"34,356,883","983,080,974"
"Dec 02, 2019",0.039612,0.039769,0.03758,0.038056,"43,069,274","986,684,920"
"Dec 01, 2019",0.040426,0.040426,0.038467,0.039587,"59,641,355","1,026,365,437"
"Nov 30, 2019",0.041416,0.042268,0.040068,0.040425,"64,184,926","1,048,107,282"
"Nov 29, 2019",0.039227,0.04204,0.039194,0.041423,"99,506,198","1,073,986,624"
"Nov 28, 2019",0.039129,0.03999,0.038641,0.03919,"60,743,403","1,016,079,672"
"Nov 27, 2019",0.036955,0.0398,0.035783,0.039049,"76,841,561","1,012,420,887"
"Nov 26, 2019",0.036046,0.037074,0.035705,0.036993,"57,431,470","959,117,573"
"Nov 25, 2019",0.035543,0.037184,0.033336,0.036048,"96,694,224","934,626,616"
"Nov 24, 2019",0.038371,0.038916,0.035556,0.035588,"62,998,664","922,680,695"
"Nov 23, 2019",0.037159,0.038423,0.036701,0.038343,"58,979,321","994,122,170"
"Nov 22, 2019",0.038447,0.038685,0.034611,0.037148,"93,310,136","963,130,806"
"Nov 21, 2019",0.041169,0.041249,0.037727,0.038406,"67,101,708","995,755,250"
"Nov 20, 2019",0.042588,0.042794,0.040809,0.041178,"69,854,304","1,067,634,701"
"Nov 19, 2019",0.043697,0.044451,0.041383,0.042542,"91,311,583","1,102,995,485"
"Nov 18, 2019",0.045403,0.046652,0.043543,0.043802,"106,595,679","1,135,647,864"
"Nov 17, 2019",0.044153,0.046423,0.04367,0.045421,"74,834,540","1,177,627,885"
