Date,Open*,High,Low,Close**,Volume,Market Cap
"Jan 26, 2020",4.41,4.5,4.37,4.48,"131,819,511","854,395,418"
"Jan 25, 2020",4.49,4.49,4.37,4.42,"132,055,630","841,901,879"
"Jan 24, 2020",4.45,4.52,4.35,4.48,"161,825,964","855,148,282"
"Jan 23, 2020",4.65,4.68,4.38,4.44,"157,800,493","847,521,481"
"Jan 22, 2020",4.64,4.69,4.57,4.65,"131,623,772","887,094,362"
"Jan 21, 2020",4.5,4.73,4.46,4.65,"138,311,353","886,592,072"
"Jan 20, 2020",4.51,4.66,4.42,4.51,"142,814,531","859,109,294"
"Jan 19, 2020",4.64,4.76,4.39,4.52,"195,479,921","861,648,060"
"Jan 18, 2020",5,5,4.62,4.63,"218,755,859","883,526,141"
"Jan 17, 2020",5.1,5.29,4.77,5,"314,099,418","953,671,093"
"Jan 16, 2020",4.57,5.2,4.2,5.08,"292,509,993","967,992,098"
"Jan 15, 2020",4.54,4.93,4.4,4.57,"256,937,834","871,045,052"
"Jan 14, 2020",4.25,4.67,4.24,4.54,"218,081,722","865,707,914"
"Jan 13, 2020",4.26,4.33,4.13,4.26,"112,376,034","811,564,036"
"Jan 12, 2020",4.27,4.35,4.23,4.26,"114,480,179","812,887,020"
"Jan 11, 2020",4.26,4.43,4.26,4.28,"134,305,838","815,227,389"
"Jan 10, 2020",4.26,4.45,4.21,4.26,"180,537,539","813,022,082"
"Jan 9, 2020",4.01,4.26,3.96,4.26,"137,133,708","812,941,170"
"Jan 8, 2020",4.09,4.18,4,4.01,"128,484,380","764,782,468"
"Jan 7, 2020",4.11,4.25,4.07,4.1,"136,691,939","781,067,565"
"Jan 6, 2020",4.23,4.25,4.05,4.1,"139,523,351","782,765,024"
"Jan 5, 2020",4.28,4.4,4.22,4.23,"115,399,788","806,970,072"
"Jan 4, 2020",4.25,4.39,4.23,4.29,"90,718,305","817,358,521"
"Jan 3, 2020",4.11,4.36,4.02,4.25,"138,617,691","810,024,888"
"Jan 2, 2020",4.38,4.38,4.08,4.09,"111,325,337","780,262,140"
"Jan 1, 2020",4.22,4.47,4.2,4.38,"107,994,513","835,245,527"
"Dec 31, 2019",4.19,4.33,4.13,4.22,"109,928,104","804,079,143"
"Dec 30, 2019",4.27,4.42,4.15,4.19,"126,896,246","799,024,500"
"Dec 29, 2019",4.41,4.54,4.25,4.27,"125,572,029","813,804,081"
"Dec 28, 2019",4.52,4.72,4.41,4.41,"117,069,172","840,180,977"
"Dec 27, 2019",4.57,4.76,4.49,4.52,"132,653,447","861,978,946"
"Dec 26, 2019",4.3,4.62,4.3,4.58,"139,848,139","873,061,135"
"Dec 25, 2019",4.42,4.42,4.21,4.3,"104,967,612","820,436,002"
"Dec 24, 2019",4.31,4.48,4.26,4.42,"127,112,410","843,489,942"
"Dec 23, 2019",4.27,4.35,4.17,4.3,"133,651,317","820,276,987"
"Dec 22, 2019",4.09,4.28,4.08,4.27,"119,057,895","814,002,309"
"Dec 21, 2019",4.32,4.35,4.07,4.09,"111,080,887","779,582,076"
"Dec 20, 2019",4.29,4.38,4.19,4.31,"142,056,809","822,749,311"
"Dec 19, 2019",4.3,4.37,4.08,4.29,"149,541,020","817,804,301"
"Dec 18, 2019",3.61,4.46,3.6,4.3,"260,235,131","820,891,581"
"Dec 17, 2019",4.08,4.15,3.57,3.63,"216,347,353","691,687,130"
"Dec 16, 2019",4.49,4.5,4.06,4.08,"207,850,289","777,998,924"
"Dec 15, 2019",4.25,4.61,4.2,4.49,"230,817,887","857,024,370"
"Dec 14, 2019",3.98,4.28,3.98,4.24,"191,269,095","809,375,555"
"Dec 13, 2019",4.12,4.23,3.98,3.99,"205,959,990","760,233,969"
"Dec 12, 2019",3.83,4.17,3.79,4.12,"230,614,356","786,418,456"
