Date,Open*,High,Low,Close**,Volume,Market Cap
"Jan 26, 2020",311,347.74,308.55,347,"3,192,088,890","6,330,863,260"
"Jan 25, 2020",319.38,319.4,305.49,311.36,"2,169,791,084","5,680,063,566"
"Jan 24, 2020",325.17,327.38,299.96,319.52,"3,346,887,042","5,828,372,705"
"Jan 23, 2020",347.5,348.39,319.29,324.87,"2,722,405,196","5,925,291,827"
"Jan 22, 2020",343.37,352.01,339.62,347.23,"2,468,426,687","6,332,561,910"
"Jan 21, 2020",343.51,346.54,334.7,343.42,"2,658,918,440","6,262,472,148"
"Jan 20, 2020",338.12,351.84,325.28,343.81,"3,361,586,387","6,268,932,728"
"Jan 19, 2020",338.4,362.15,323.11,338.31,"4,458,226,713","6,167,961,887"
"Jan 18, 2020",367.41,398.89,334.84,339.12,"6,041,778,648","6,182,276,116"
"Jan 17, 2020",326.38,379.68,320.62,366.98,"5,128,628,377","6,689,508,806"
"Jan 16, 2020",339.68,341.24,311.56,325.98,"3,652,947,113","5,941,556,881"
"Jan 15, 2020",348.72,358.82,319.01,339.4,"5,240,635,087","6,185,484,056"
"Jan 14, 2020",267.64,364.16,267.53,350.26,"6,618,289,058","6,382,913,206"
"Jan 13, 2020",268.41,270.77,261.87,267.52,"1,884,541,173","4,874,569,980"
"Jan 12, 2020",261.1,269.07,259.28,268.24,"2,168,514,332","4,887,148,233"
"Jan 11, 2020",270.2,276.63,259.81,260.68,"2,487,051,623","4,748,986,487"
"Jan 10, 2020",239.55,271.77,232.64,270.73,"2,986,773,814","4,931,494,248"
"Jan 09, 2020",241,243.05,232.35,239.22,"1,908,677,851","4,357,194,742"
"Jan 08, 2020",243.08,251.3,234.39,241.06,"2,424,659,797","4,390,124,757"
"Jan 07, 2020",244.71,245.84,234.18,243.26,"2,234,914,578","4,429,804,165"
"Jan 06, 2020",224.35,245.11,223.69,244.56,"2,328,224,536","4,453,007,524"
"Jan 05, 2020",225.78,228.22,222.35,224.1,"1,681,830,248","4,080,035,773"
"Jan 04, 2020",222.54,227.46,220.28,226.02,"1,861,485,049","4,114,630,710"
"Jan 03, 2020",196.01,224.95,192.98,222.41,"2,644,279,656","4,048,583,336"
"Jan 02, 2020",204.35,205.14,194.07,195.7,"1,432,801,807","3,561,934,035"
"Jan 01, 2020",204.67,208.08,203.21,204.4,"1,456,113,692","3,719,917,644"
"Dec 31, 2019",209.3,214.24,202.04,204.62,"1,713,535,483","3,723,637,897"
"Dec 30, 2019",212.88,215.99,207.41,209.4,"1,804,979,491","3,810,326,526"
"Dec 29, 2019",206.25,215.5,205.04,212.96,"1,856,273,467","3,874,556,156"
"Dec 28, 2019",203.29,209.94,203.11,206.41,"1,909,698,747","3,755,092,935"
"Dec 27, 2019",188.32,204.71,187.18,203.33,"2,017,127,633","3,698,638,472"
"Dec 26, 2019",187.27,193,185.53,188.56,"1,309,782,083","3,429,665,196"
"Dec 25, 2019",189.72,190.3,185.49,187.18,"1,671,819,392","3,404,158,932"
"Dec 24, 2019",190.74,194.13,187.34,189.5,"1,514,958,689","3,446,007,698"
"Dec 23, 2019",196.29,197.61,189.91,190.52,"1,744,349,961","3,464,242,250"
"Dec 22, 2019",187.44,197.68,187.07,196.66,"1,549,039,085","3,575,561,679"
"Dec 21, 2019",188.22,189.26,186.35,187.74,"1,267,951,911","3,413,070,441"
"Dec 20, 2019",187.68,190.81,185.91,188.17,"1,409,786,653","3,420,569,948"
"Dec 19, 2019",189.4,191.99,183.21,187.63,"2,025,407,707","3,410,445,083"
"Dec 18, 2019",177.26,190.68,172.95,189.73,"2,471,323,830","3,448,296,898"
"Dec 17, 2019",197.12,198.11,175.25,177.41,"1,772,467,634","3,223,944,929"
"Dec 16, 2019",207.54,208.4,195.69,197.15,"1,613,646,363","3,582,271,933"
"Dec 15, 2019",207.46,209.97,200.81,207.36,"1,364,339,247","3,767,572,455"
"Dec 14, 2019",211.24,213.23,206.42,207.5,"1,248,149,986","3,769,578,548"
"Dec 13, 2019",207.72,212.82,206.49,211.09,"1,255,832,120","3,834,519,012"
"Dec 12, 2019",207.42,208.8,205.33,207.71,"1,276,162,238","3,772,777,656"
"Dec 11, 2019",208.1,209.95,206.46,207.18,"1,091,099,892","3,762,750,935"
"Dec 10, 2019",209.83,210.09,206.17,208.3,"1,171,037,352","3,782,704,326"
"Dec 09, 2019",214.06,215.43,208.24,209.85,"1,168,994,670","3,810,511,823"
"Dec 08, 2019",212.93,216.95,210.96,214.36,"1,048,971,273","3,891,948,419"
"Dec 07, 2019",213.78,215.81,212.41,212.65,"1,042,909,181","3,860,575,905"
"Dec 06, 2019",213.38,215.27,210.4,213.22,"1,119,431,926","3,870,472,225"
"Dec 05, 2019",209.22,221.66,206.93,213.29,"1,198,480,068","3,871,392,399"
