Date,Open*,High,Low,Close**,Volume,Market Cap
"Jan 26, 2020",102.14,112.47,100.8,111,"1,048,666,266","1,031,071,645"
"Jan 25, 2020",100.77,103.49,98.02,102.16,"684,814,780","948,701,916"
"Jan 24, 2020",102.58,103.8,94.29,100.83,"829,271,731","936,185,841"
"Jan 23, 2020",107.64,108.15,98.66,102.41,"837,448,530","950,709,016"
"Jan 22, 2020",110.83,112.54,107.27,107.65,"824,540,369","999,145,359"
"Jan 21, 2020",109.61,113.66,106.24,110.86,"964,611,063","1,028,793,258"
"Jan 20, 2020",104.8,114.63,100.88,109.57,"1,208,948,881","1,016,591,626"
"Jan 19, 2020",101.63,108.44,93.42,104.79,"1,186,646,796","972,138,555"
"Jan 18, 2020",114.13,115.25,97.52,101.56,"1,315,737,751","941,967,758"
"Jan 17, 2020",127.63,127.69,110.55,114.38,"1,536,993,729","1,060,686,346"
"Jan 16, 2020",132.4,134.05,113.62,128.16,"1,925,351,036","1,188,236,312"
"Jan 15, 2020",88.62,140.7,88.62,132.27,"2,736,888,861","1,226,142,431"
"Jan 14, 2020",69.61,88.7,69.58,88.7,"1,090,046,613","822,067,637"
"Jan 13, 2020",66.25,71.11,64.15,69.58,"476,814,382","644,783,979"
"Jan 12, 2020",63.53,67.81,62.53,66.3,"535,827,585","614,252,950"
"Jan 11, 2020",56.6,66.84,55.81,63.4,"581,950,368","587,294,276"
"Jan 10, 2020",50.89,56.59,50.26,56.59,"360,608,270","524,062,302"
"Jan 09, 2020",52.88,53.28,50.5,50.89,"247,077,074","471,257,294"
"Jan 08, 2020",54.8,56.53,51.72,52.92,"314,320,136","489,899,216"
"Jan 07, 2020",56.7,57.31,54.05,54.82,"395,124,565","507,414,232"
"Jan 06, 2020",51.54,57.58,51.22,56.7,"496,237,320","524,728,177"
"Jan 05, 2020",46.43,53.52,46.43,51.48,"439,864,007","476,326,526"
"Jan 04, 2020",43.98,46.95,43.17,46.45,"429,327,843","429,730,575"
"Jan 03, 2020",40.19,44.03,40.18,44.02,"244,420,570","407,174,982"
"Jan 02, 2020",41.91,42.04,40.18,40.22,"200,098,184","371,971,196"
"Jan 01, 2020",41.19,42.61,40.97,41.87,"209,558,954","387,089,111"
"Dec 31, 2019",42.57,42.84,41.15,41.2,"228,348,982","380,819,459"
"Dec 30, 2019",44.75,45,42.52,42.57,"236,575,767","393,500,251"
"Dec 29, 2019",41.9,45.42,41.66,44.75,"291,554,835","413,310,786"
"Dec 28, 2019",39.87,43.01,39.83,41.89,"258,317,069","386,836,063"
"Dec 27, 2019",40.13,40.53,38.97,39.87,"228,790,249","368,137,394"
"Dec 26, 2019",41.23,41.34,38.96,40.16,"297,344,626","370,729,978"
"Dec 25, 2019",42.02,42.08,41.16,41.25,"231,213,797","380,677,900"
"Dec 24, 2019",43.07,43.39,41.87,42.02,"234,610,156","387,771,587"
"Dec 23, 2019",44.32,44.91,42.84,43.05,"221,437,668","397,172,828"
"Dec 22, 2019",43.04,44.36,42.7,44.34,"207,633,884","409,023,239"
"Dec 21, 2019",43.52,43.66,42.77,43.05,"202,625,006","397,001,323"
"Dec 20, 2019",43.54,44.11,43.06,43.52,"236,620,822","401,322,904"
"Dec 19, 2019",44.55,44.94,42.29,43.54,"246,793,993","401,355,359"
"Dec 18, 2019",41.49,45.23,40.83,44.52,"274,331,819","410,325,000"
"Dec 17, 2019",46.42,46.46,41.01,41.37,"262,627,863","381,266,341"
"Dec 16, 2019",51.03,51.08,46.07,46.42,"255,386,554","427,712,733"
"Dec 15, 2019",49.95,51.42,49.14,51.03,"274,840,843","470,140,384"
"Dec 14, 2019",50.74,51.23,49.59,49.94,"251,838,983","460,001,543"
