Date,Open*,High,Low,Close**,Volume,Market Cap
"Jan 26, 2020",2.46,2.57,2.44,2.57,"101,906,615","900,053,582"
"Jan 25, 2020",2.5,2.51,2.43,2.46,"96,793,337","859,784,045"
"Jan 24, 2020",2.47,2.53,2.37,2.5,"121,390,827","876,536,363"
"Jan 23, 2020",2.65,2.65,2.44,2.46,"128,284,126","861,738,068"
"Jan 22, 2020",2.68,2.69,2.63,2.65,"97,214,236","925,953,608"
"Jan 21, 2020",2.7,2.74,2.58,2.67,"118,493,954","935,742,614"
"Jan 20, 2020",2.62,2.74,2.55,2.7,"149,645,626","944,054,524"
"Jan 19, 2020",2.78,2.84,2.56,2.62,"175,287,789","916,632,784"
"Jan 18, 2020",2.72,2.79,2.6,2.77,"167,529,444","970,936,771"
"Jan 17, 2020",2.48,2.84,2.47,2.72,"257,924,221","953,438,176"
"Jan 16, 2020",2.41,2.5,2.3,2.48,"143,515,776","869,567,505"
"Jan 15, 2020",2.38,2.57,2.36,2.4,"149,371,800","841,742,041"
"Jan 14, 2020",2.19,2.45,2.18,2.39,"135,612,258","836,474,276"
"Jan 13, 2020",2.24,2.24,2.16,2.19,"78,803,227","767,358,644"
"Jan 12, 2020",2.28,2.31,2.23,2.25,"87,342,008","785,817,532"
"Jan 11, 2020",2.22,2.33,2.22,2.28,"107,902,217","799,136,443"
"Jan 10, 2020",2.19,2.26,2.16,2.22,"109,888,554","778,385,770"
"Jan 09, 2020",2.18,2.23,2.11,2.19,"109,938,413","765,117,095"
"Jan 08, 2020",2.11,2.33,2.11,2.18,"192,821,111","764,262,022"
"Jan 07, 2020",1.93,2.13,1.91,2.11,"140,921,324","739,934,210"
"Jan 06, 2020",1.81,1.94,1.81,1.94,"80,941,179","678,112,936"
"Jan 05, 2020",1.84,1.86,1.8,1.81,"55,235,942","632,725,379"
"Jan 04, 2020",1.81,1.85,1.79,1.84,"49,108,150","644,046,686"
"Jan 03, 2020",1.74,1.83,1.71,1.81,"61,298,048","633,397,911"
"Jan 02, 2020",1.81,1.82,1.72,1.74,"52,729,126","609,400,278"
"Jan 01, 2020",1.77,1.85,1.76,1.81,"69,723,037","632,324,086"
"Dec 31, 2019",1.84,1.84,1.76,1.77,"58,903,187","619,314,954"
"Dec 30, 2019",1.9,1.91,1.83,1.84,"57,136,151","643,640,851"
"Dec 29, 2019",1.87,1.92,1.86,1.9,"53,574,998","665,841,559"
"Dec 28, 2019",1.89,1.91,1.87,1.87,"53,567,273","656,018,147"
"Dec 27, 2019",1.86,1.95,1.85,1.89,"74,031,488","660,276,978"
"Dec 26, 2019",1.81,1.94,1.79,1.86,"79,180,350","651,630,010"
"Dec 25, 2019",1.86,1.86,1.79,1.8,"86,020,952","631,665,436"
"Dec 24, 2019",1.88,1.89,1.84,1.86,"131,772,813","652,092,016"
"Dec 23, 2019",1.94,1.96,1.86,1.88,"130,569,408","656,897,477"
"Dec 22, 2019",1.87,1.95,1.87,1.94,"120,076,955","677,398,756"
"Dec 21, 2019",1.92,1.93,1.87,1.87,"88,336,767","655,789,073"
"Dec 20, 2019",1.82,1.92,1.8,1.92,"124,354,682","673,201,642"
"Dec 19, 2019",1.88,1.89,1.75,1.82,"150,914,459","637,172,404"
"Dec 18, 2019",1.76,1.88,1.66,1.88,"209,932,252","658,252,398"
"Dec 17, 2019",1.98,2.01,1.72,1.76,"172,213,180","614,723,071"
"Dec 16, 2019",2.09,2.09,1.98,1.98,"97,454,140","693,554,053"
"Dec 15, 2019",2.01,2.12,1.98,2.09,"114,518,248","730,394,059"
"Dec 14, 2019",2.08,2.09,1.99,2.01,"105,295,566","703,740,129"
"Dec 13, 2019",2.12,2.13,2.07,2.08,"117,843,001","727,058,616"
"Dec 12, 2019",2.18,2.2,2.05,2.12,"142,758,973","741,674,953"
"Dec 11, 2019",2.27,2.3,2.15,2.18,"138,162,558","762,317,077"
"Dec 10, 2019",2.09,2.28,2.07,2.27,"218,763,851","794,729,934"
"Dec 09, 2019",2.06,2.09,2.02,2.09,"147,696,805","731,861,045"
"Dec 08, 2019",2.06,2.09,2.03,2.06,"103,114,465","720,652,032"
"Dec 07, 2019",2.09,2.11,2.05,2.06,"88,418,201","721,417,209"
"Dec 06, 2019",2.03,2.1,1.99,2.09,"113,399,318","732,354,664"
"Dec 05, 2019",2.05,2.11,1.97,2.03,"126,219,927","709,032,623"
"Dec 04, 2019",2.13,2.14,2.02,2.05,"145,162,286","717,028,178"
"Dec 03, 2019",2.09,2.2,2.05,2.13,"109,854,018","745,494,808"
"Dec 02, 2019",2.17,2.18,2.07,2.09,"116,492,201","733,241,502"
