Date,Open*,High,Low,Close**,Volume,Market Cap
"Jan 26, 2020",53.69,56.48,53.3,56.21,"3,283,750,798","3,594,505,100"
"Jan 25, 2020",54.56,54.56,52.77,53.7,"2,938,756,558","3,433,273,431"
"Jan 24, 2020",54.64,55.42,51.36,54.53,"3,532,776,556","3,486,182,447"
"Jan 23, 2020",58.35,58.48,53.39,54.63,"3,348,002,983","3,492,096,602"
"Jan 22, 2020",57.64,58.99,57.32,58.35,"3,076,205,980","3,729,779,086"
"Jan 21, 2020",57.23,57.96,56.27,57.65,"3,130,143,642","3,684,221,719"
"Jan 20, 2020",57.78,58.09,56.23,57.2,"3,306,438,947","3,655,443,935"
"Jan 19, 2020",59.45,61.79,56.18,57.8,"4,197,776,579","3,693,201,722"
"Jan 18, 2020",61.3,62.17,58.53,59.41,"4,426,051,530","3,795,493,154"
"Jan 17, 2020",57.64,62.89,56.9,61.49,"5,067,456,613","3,927,821,846"
"Jan 16, 2020",58.05,58.3,55.15,57.62,"4,347,723,835","3,680,300,934"
"Jan 15, 2020",58.39,59.92,56.17,58.05,"5,070,738,793","3,707,655,223"
"Jan 14, 2020",49.7,59.88,49.69,58.48,"5,729,547,956","3,734,400,000"
"Jan 13, 2020",51.12,51.39,48.93,49.73,"3,336,204,744","3,175,647,876"
"Jan 12, 2020",49.32,51.3,49.01,51.08,"3,858,852,964","3,261,300,810"
"Jan 11, 2020",48.63,51.33,48.09,49.26,"3,915,781,115","3,144,901,794"
"Jan 10, 2020",45.21,49.17,44.03,48.73,"3,808,140,302","3,110,300,142"
"Jan 09, 2020",45.62,45.78,44.31,45.22,"2,986,327,757","2,885,860,528"
"Jan 08, 2020",46.45,48.2,44.63,45.65,"3,633,957,130","2,913,485,629"
"Jan 07, 2020",45.84,46.86,44.72,46.42,"3,611,521,907","2,962,310,517"
"Jan 06, 2020",43.6,45.96,43.49,45.82,"3,349,237,768","2,923,126,044"
"Jan 05, 2020",43.29,44.73,43,43.55,"3,017,148,033","2,778,396,525"
"Jan 04, 2020",42.38,43.34,41.93,43.33,"2,843,192,897","2,763,617,782"
"Jan 03, 2020",39.86,42.45,39.45,42.42,"3,260,961,326","2,705,193,552"
"Jan 02, 2020",42.02,42.13,39.68,39.82,"2,759,827,139","2,539,554,281"
"Jan 01, 2020",41.33,42.29,41.29,42.02,"2,782,992,323","2,679,229,284"
"Dec 31, 2019",42.77,43.06,41.17,41.34,"3,015,923,778","2,635,704,909"
"Dec 30, 2019",43.75,44.6,42.43,42.75,"3,330,795,171","2,725,146,760"
"Dec 29, 2019",42.8,44.45,42.44,43.67,"3,573,796,558","2,783,708,412"
