Date,Open*,High,Low,Close**,Volume,Market Cap
"Jan 26, 2020",10.37,10.79,10.31,10.79,"404,980,625","761,197,052"
"Jan 25, 2020",10.54,10.55,10.25,10.38,"385,598,906","732,042,427"
"Jan 24, 2020",10.6,10.67,10.18,10.54,"431,976,783","743,631,121"
"Jan 23, 2020",11.25,11.26,10.44,10.59,"469,032,837","747,269,106"
"Jan 22, 2020",11.21,11.36,11.15,11.24,"427,437,898","792,531,607"
"Jan 21, 2020",11.14,11.29,10.9,11.22,"439,099,246","791,311,089"
"Jan 20, 2020",11.23,11.33,10.87,11.14,"457,576,088","785,962,924"
"Jan 19, 2020",11.9,12.16,10.88,11.24,"565,130,675","792,985,473"
"Jan 18, 2020",11.88,12.3,11.35,11.9,"640,055,893","839,211,044"
"Jan 17, 2020",11.28,11.93,11.18,11.89,"613,650,220","838,848,785"
"Jan 16, 2020",11.41,11.55,10.78,11.27,"557,155,121","795,027,478"
"Jan 15, 2020",11.22,11.89,10.89,11.42,"688,138,212","805,615,914"
"Jan 14, 2020",10.06,11.57,10.04,11.24,"682,255,589","792,731,466"
"Jan 13, 2020",10.28,10.3,9.81,10.06,"403,409,327","709,734,345"
"Jan 12, 2020",9.72,10.41,9.67,10.27,"459,127,690","724,098,648"
"Jan 11, 2020",9.86,9.99,9.6,9.72,"423,065,242","685,741,235"
"Jan 10, 2020",9.44,9.86,9.09,9.86,"409,988,928","695,690,645"
"Jan 09, 2020",9.52,9.52,9.36,9.44,"357,091,292","665,893,525"
"Jan 08, 2020",9.82,10.1,9.43,9.53,"470,741,967","671,929,024"
"Jan 07, 2020",9.78,9.91,9.45,9.82,"479,929,669","692,822,056"
"Jan 06, 2020",9.08,9.82,9.07,9.77,"486,188,491","689,404,655"
"Jan 05, 2020",9.14,9.33,9.05,9.07,"406,708,915","639,703,566"
"Jan 04, 2020",8.89,9.15,8.82,9.15,"358,861,190","645,616,187"
"Jan 03, 2020",8.5,9.03,8.38,8.89,"371,142,358","626,917,156"
"Jan 02, 2020",8.85,8.85,8.44,8.49,"327,241,775","599,152,620"
"Jan 01, 2020",8.68,9,8.63,8.85,"340,927,447","624,197,831"
"Dec 31, 2019",9.02,9.08,8.63,8.69,"355,254,392","612,871,331"
"Dec 30, 2019",9.25,9.32,8.95,9.02,"383,434,459","636,276,389"
"Dec 29, 2019",8.79,9.39,8.77,9.25,"440,624,015","652,749,972"
"Dec 28, 2019",8.78,8.86,8.72,8.79,"343,732,112","620,317,955"
"Dec 27, 2019",8.56,8.87,8.55,8.78,"355,073,901","619,384,106"
"Dec 26, 2019",8.69,8.79,8.56,8.56,"366,442,609","603,779,090"
"Dec 25, 2019",8.79,8.8,8.53,8.69,"386,405,336","613,130,765"
"Dec 24, 2019",8.58,8.95,8.52,8.78,"412,815,357","619,159,028"
"Dec 23, 2019",8.92,9.02,8.57,8.59,"431,188,130","605,672,723"
"Dec 22, 2019",8.56,8.92,8.56,8.92,"407,879,217","628,873,655"
"Dec 21, 2019",8.66,8.66,8.48,8.56,"363,824,020","603,956,214"
"Dec 20, 2019",8.66,8.72,8.54,8.65,"380,714,679","610,463,412"
"Dec 19, 2019",8.81,8.87,8.49,8.67,"405,643,371","611,376,701"
"Dec 18, 2019",7.9,8.87,7.83,8.8,"511,424,967","621,082,813"
"Dec 17, 2019",8.4,8.44,7.8,7.9,"423,480,194","556,951,504"
"Dec 16, 2019",8.97,9.03,8.35,8.4,"436,140,051","592,532,816"
"Dec 15, 2019",8.87,9.02,8.51,8.96,"426,974,845","632,257,321"
"Dec 14, 2019",8.91,9.18,8.75,8.87,"442,529,018","625,432,901"
"Dec 13, 2019",8.68,9.13,8.63,8.91,"427,290,538","628,843,465"
"Dec 12, 2019",8.54,8.69,8.41,8.67,"452,828,640","611,747,342"
"Dec 11, 2019",8.62,8.73,8.47,8.54,"299,233,990","602,715,080"
"Dec 10, 2019",8.79,8.79,8.52,8.62,"307,202,597","607,764,044"
"Dec 09, 2019",9.09,9.15,8.73,8.79,"292,727,008","619,772,885"
"Dec 08, 2019",8.99,9.22,8.87,9.09,"305,831,753","641,236,530"
"Dec 07, 2019",8.77,9.26,8.77,8.99,"332,957,949","634,037,458"
"Dec 06, 2019",8.82,8.86,8.68,8.77,"297,307,062","618,481,282"
"Dec 05, 2019",8.7,9.08,8.57,8.81,"328,984,103","621,448,861"
"Dec 04, 2019",8.99,9.09,8.63,8.72,"335,103,295","614,878,794"
"Dec 03, 2019",8.97,9.19,8.82,8.99,"303,309,098","634,275,741"
"Dec 02, 2019",9.28,9.36,8.86,8.97,"335,056,258","632,766,865"
"Dec 01, 2019",9.37,9.5,8.98,9.29,"313,468,750","655,229,253"
"Nov 30, 2019",9.77,9.89,9.27,9.38,"367,196,454","661,333,408"
"Nov 29, 2019",9.33,9.9,9.32,9.76,"381,982,780","688,774,821"
"Nov 28, 2019",9.49,9.65,9.3,9.32,"349,185,109","657,404,641"
"Nov 27, 2019",9.31,9.69,8.86,9.49,"410,238,361","669,553,971"
"Nov 26, 2019",9.13,9.41,9.03,9.34,"372,281,335","659,096,090"
"Nov 25, 2019",9.16,9.51,8.41,9.13,"446,997,610","644,270,091"
"Nov 24, 2019",10.14,10.14,9.15,9.15,"400,062,693","645,495,988"
"Nov 23, 2019",9.7,10.17,9.52,10.14,"434,460,433","715,096,285"
"Nov 22, 2019",11.06,11.19,9.38,9.7,"543,155,922","683,948,868"
"Nov 21, 2019",11.55,11.59,10.67,11.06,"504,284,931","780,164,032"
"Nov 20, 2019",11.8,12.1,11.42,11.55,"485,322,430","814,828,656"
"Nov 19, 2019",11.48,11.86,11.17,11.79,"498,226,128","831,577,955"
"Nov 18, 2019",12.17,12.18,11.26,11.48,"468,423,965","810,097,168"
"Nov 17, 2019",12.47,12.48,12.1,12.17,"411,707,985","858,760,423"
"Nov 16, 2019",12.05,12.61,11.92,12.47,"423,454,412","879,858,648"
"Nov 15, 2019",12.73,12.94,11.88,12.05,"494,087,825","849,891,531"
"Nov 14, 2019",13.2,13.38,12.59,12.72,"544,059,923","896,961,112"
"Nov 13, 2019",12.14,13.42,12.02,13.2,"639,687,544","931,143,540"
"Nov 12, 2019",11.17,12.51,11.16,12.15,"682,544,643","856,946,892"
"Nov 11, 2019",11.05,11.42,10.67,11.17,"457,016,653","787,887,271"
"Nov 10, 2019",10.7,11.28,10.64,11.05,"422,163,610","779,188,900"
"Nov 09, 2019",10.66,10.82,10.6,10.69,"355,876,094","754,069,959"
"Nov 08, 2019",11.19,11.22,10.49,10.67,"435,911,575","752,520,436"
"Nov 07, 2019",11.1,11.23,10.81,11.2,"446,206,619","789,893,852"
"Nov 06, 2019",11.18,11.36,11.01,11.1,"458,272,027","783,131,127"
"Nov 05, 2019",11.46,11.46,11.04,11.18,"510,035,838","788,868,269"
"Nov 04, 2019",11.07,11.66,10.99,11.46,"534,808,365","808,054,262"
"Nov 03, 2019",11.02,11.17,10.75,11.07,"463,777,668","781,207,003"
"Nov 02, 2019",10.65,11.32,10.64,11.02,"532,232,113","777,315,201"
"Nov 01, 2019",10.62,10.73,10.37,10.65,"461,750,014","751,172,316"
"Oct 31, 2019",11.28,11.38,10.3,10.62,"559,840,042","749,249,755"
"Oct 30, 2019",10.79,11.53,10.18,11.26,"646,768,897","794,599,652"
"Oct 29, 2019",10.78,11.31,10.44,10.77,"586,713,879","759,982,280"
"Oct 28, 2019",11.54,13.18,10.49,10.78,"970,711,177","760,679,061"
"Oct 27, 2019",9.09,12.32,9.09,11.54,"1,153,240,925","814,128,670"
"Oct 26, 2019",7.81,9.07,7.81,9.06,"601,179,932","639,124,612"
"Oct 25, 2019",7.05,7.82,6.91,7.81,"335,186,191","550,904,572"
"Oct 24, 2019",6.92,7.12,6.82,7.04,"229,632,843","496,881,975"
"Oct 23, 2019",7.3,7.31,6.77,6.93,"257,772,716","488,566,666"
"Oct 22, 2019",7.43,7.53,7.3,7.3,"230,969,582","515,099,459"
"Oct 21, 2019",7.32,7.47,7.25,7.43,"240,894,924","524,010,859"
"Oct 20, 2019",7.16,7.38,7.1,7.32,"217,855,921","516,543,260"
"Oct 19, 2019",7.14,7.22,7.1,7.16,"209,238,234","504,755,827"
"Oct 18, 2019",7.29,7.34,7.03,7.13,"227,534,484","502,976,612"
"Oct 17, 2019",7.05,7.29,6.95,7.29,"227,322,674","513,996,110"
"Oct 16, 2019",7.41,7.48,6.89,7.05,"260,428,217","496,963,710"
"Oct 15, 2019",7.51,7.59,7.31,7.4,"253,780,233","522,214,540"
"Oct 14, 2019",7.35,7.5,7.33,7.47,"236,139,714","526,945,921"
"Oct 13, 2019",7.29,7.51,7.27,7.35,"226,085,348","518,535,834"
"Oct 12, 2019",7.31,7.44,7.26,7.3,"233,242,583","514,654,844"
"Oct 11, 2019",7.51,7.61,7.3,7.31,"263,183,654","515,581,815"
"Oct 10, 2019",7.8,7.81,7.42,7.51,"263,834,330","529,840,871"
"Oct 09, 2019",7.56,7.82,7.46,7.8,"285,281,425","550,109,041"
"Oct 08, 2019",7.53,7.62,7.39,7.56,"219,794,931","533,365,683"
"Oct 07, 2019",7.24,7.59,7.18,7.52,"258,797,335","530,480,482"
"Oct 06, 2019",7.37,7.41,7.16,7.24,"229,672,034","510,992,646"
"Oct 05, 2019",7.43,7.47,7.25,7.36,"228,270,593","519,156,687"
"Oct 04, 2019",7.37,7.52,7.28,7.43,"238,289,706","524,214,242"
"Oct 03, 2019",7.66,7.67,7.25,7.36,"234,976,156","519,453,176"
"Oct 02, 2019",7.53,7.67,7.4,7.67,"248,434,248","540,742,563"
"Oct 01, 2019",7.6,8.02,7.51,7.53,"297,675,738","531,422,540"
"Sep 30, 2019",7.18,7.6,7,7.6,"307,006,068","536,176,066"
"Sep 29, 2019",7.37,7.38,7.04,7.18,"262,781,713","506,745,353"
"Sep 28, 2019",7.4,7.57,7.26,7.37,"272,160,071","520,220,232"
"Sep 27, 2019",7.18,7.48,7.07,7.39,"296,984,930","521,071,247"
"Sep 26, 2019",7.49,7.53,6.83,7.18,"313,793,759","506,443,030"
"Sep 25, 2019",7.32,7.6,7.04,7.5,"339,839,046","529,094,606"
"Sep 24, 2019",8.66,8.79,7.12,7.32,"340,879,542","516,448,197"
"Sep 23, 2019",9.13,9.15,8.65,8.66,"269,956,482","610,759,543"
"Sep 22, 2019",9.45,9.45,9.07,9.12,"267,115,363","643,616,174"
"Sep 21, 2019",9.56,9.66,9.42,9.45,"263,220,495","666,633,329"
"Sep 20, 2019",9.76,9.79,9.4,9.55,"291,595,780","673,661,281"
"Sep 19, 2019",10.16,10.17,9.41,9.74,"366,588,908","687,354,952"
"Sep 18, 2019",9.58,10.34,9.57,10.15,"355,948,660","716,290,076"
"Sep 17, 2019",9.1,9.82,9.09,9.58,"320,017,640","675,511,639"
"Sep 16, 2019",9.12,9.26,8.96,9.09,"249,030,469","641,280,813"
"Sep 15, 2019",9.13,9.19,9.06,9.11,"221,001,646","642,481,534"
"Sep 14, 2019",8.96,9.19,8.92,9.13,"231,388,006","644,210,100"
"Sep 13, 2019",9.03,9.06,8.86,8.96,"221,836,448","632,317,580"
"Sep 12, 2019",8.84,9.06,8.78,9.04,"237,762,587","637,495,426"
"Sep 11, 2019",8.88,8.97,8.73,8.82,"237,069,094","622,279,987"
"Sep 10, 2019",9.13,9.21,8.78,8.87,"235,097,643","625,901,566"
"Sep 09, 2019",9.31,9.35,8.9,9.13,"251,167,103","644,141,112"
"Sep 08, 2019",9.13,9.33,9.05,9.3,"242,131,523","656,020,815"
"Sep 07, 2019",8.74,9.24,8.73,9.13,"246,660,018","643,766,785"
"Sep 06, 2019",9.01,9.28,8.7,8.74,"268,067,859","616,166,487"
"Sep 05, 2019",9.08,9.09,8.81,9.01,"237,600,624","635,253,717"
"Sep 04, 2019",9.3,9.31,9.02,9.09,"230,107,282","640,861,597"
"Sep 03, 2019",9.15,9.37,9.09,9.3,"241,655,994","655,888,043"
"Sep 02, 2019",8.8,9.23,8.77,9.15,"227,666,511","645,598,698"
"Sep 01, 2019",8.82,8.89,8.69,8.8,"202,957,135","620,552,317"
"Aug 31, 2019",8.76,8.9,8.63,8.82,"216,947,467","622,362,487"
"Aug 30, 2019",8.77,8.92,8.69,8.76,"214,238,128","618,155,575"
"Aug 29, 2019",9.15,9.15,8.57,8.77,"250,243,082","618,942,710"
"Aug 28, 2019",9.59,9.63,9.06,9.15,"261,538,515","645,085,931"
"Aug 27, 2019",9.84,9.86,9.51,9.59,"229,267,697","676,288,070"
"Aug 26, 2019",9.65,9.91,9.65,9.85,"247,179,371","694,491,756"
"Aug 25, 2019",10.13,10.14,9.51,9.66,"238,063,246","681,634,894"
"Aug 24, 2019",9.91,10.28,9.67,10.13,"262,868,658","714,215,772"
"Aug 23, 2019",9.82,10.05,9.7,9.91,"244,227,518","698,942,894"
"Aug 22, 2019",9.42,9.9,9.26,9.82,"279,677,040","692,844,510"
"Aug 21, 2019",9.91,9.93,9.24,9.42,"272,825,976","664,677,177"
"Aug 20, 2019",10.15,10.17,9.77,9.9,"237,645,792","698,240,395"
"Aug 19, 2019",9.88,10.17,9.84,10.17,"239,845,356","717,054,208"
"Aug 18, 2019",9.67,10.06,9.57,9.88,"232,179,408","696,953,952"
"Aug 17, 2019",9.84,9.87,9.53,9.68,"231,786,463","682,891,038"
"Aug 16, 2019",9.92,10.03,9.52,9.84,"282,250,238","694,049,270"
"Aug 15, 2019",9.39,10,9.2,9.92,"308,542,813","699,682,212"
"Aug 14, 2019",10.47,10.47,9.36,9.38,"268,690,818","661,676,695"
"Aug 13, 2019",10.69,10.71,10.27,10.49,"218,432,095","739,752,458"
"Aug 12, 2019",11.08,11.08,10.66,10.69,"215,249,968","754,208,651"
"Aug 11, 2019",10.61,11.1,10.6,11.09,"249,570,405","782,180,246"
"Aug 10, 2019",10.39,11.15,10.36,10.6,"307,415,114","748,030,850"
"Aug 09, 2019",10.87,10.88,10.24,10.39,"269,599,467","732,956,903"
"Aug 08, 2019",11.32,11.34,10.6,10.87,"275,502,109","766,932,216"
"Aug 07, 2019",11.34,11.56,11.16,11.32,"271,679,897","798,655,075"
"Aug 06, 2019",12.08,12.66,11.17,11.33,"306,890,935","799,497,447"
"Aug 05, 2019",11.93,12.66,11.93,12.07,"351,665,015","851,384,115"
"Aug 04, 2019",12.11,12.33,11.81,11.95,"253,636,013","842,787,101"
