Date,Open*,High,Low,Close**,Volume,Market Cap
"Jan 26, 2020",1,1.01,0.997359,1,"29,121,614,731","4,644,708,262"
"Jan 25, 2020",1,1.01,0.996539,1,"26,340,299,495","4,652,175,067"
"Jan 24, 2020",0.999104,1.01,0.992917,1,"33,356,108,238","4,656,155,507"
"Jan 23, 2020",1,1.01,0.996345,0.998409,"33,631,459,310","4,634,979,849"
"Jan 22, 2020",1,1,0.997179,1,"29,749,248,330","4,645,128,570"
"Jan 21, 2020",1,1.01,0.995219,1,"31,080,893,275","4,648,951,979"
"Jan 20, 2020",0.998641,1.01,0.995383,1,"33,079,894,466","4,640,395,834"
"Jan 19, 2020",1,1.03,0.993084,0.998535,"42,680,566,067","4,630,413,451"
"Jan 18, 2020",1,1.01,0.993985,1,"43,805,026,250","4,649,919,502"
"Jan 17, 2020",0.999287,1.01,0.98928,1,"47,263,851,458","4,650,379,638"
"Jan 16, 2020",1,1.01,0.993361,0.999231,"40,752,742,739","4,633,460,370"
"Jan 15, 2020",1,1.02,0.991055,0.999656,"49,045,902,728","4,631,431,380"
"Jan 14, 2020",1,1.02,0.991961,1,"57,687,160,761","4,635,105,703"
"Jan 13, 2020",1,1.01,0.998427,1,"26,468,468,000","4,642,166,645"
"Jan 12, 2020",0.999443,1.01,0.994446,1,"27,250,055,613","4,637,604,060"
"Jan 11, 2020",1,1.01,0.993385,1,"31,049,760,361","4,626,484,305"
"Jan 10, 2020",1,1.01,0.994826,1,"34,207,037,022","4,632,826,679"
"Jan 09, 2020",1,1.01,0.993994,1.01,"28,026,673,217","4,641,371,711"
"Jan 08, 2020",1,1.02,0.990067,1,"35,175,740,304","4,630,671,670"
"Jan 07, 2020",1,1.01,0.998249,1,"32,765,511,976","4,633,564,969"
"Jan 06, 2020",1.01,1.01,0.999115,1,"29,460,474,864","4,639,019,503"
"Jan 05, 2020",1.01,1.02,1,1.01,"24,090,142,146","4,133,500,728"
"Jan 04, 2020",1,1.01,0.99916,1.01,"21,585,629,320","4,138,741,037"
"Jan 03, 2020",1,1.02,0.988027,1,"32,420,287,856","4,125,267,218"
"Jan 02, 2020",0.999788,1.01,0.986515,1,"24,212,314,977","4,114,474,717"
"Jan 01, 2020",0.999571,1.01,0.994924,0.999836,"21,503,143,454","4,107,371,140"
"Dec 31, 2019",1.01,1.01,0.99779,0.999679,"24,214,120,056","4,106,723,975"
"Dec 30, 2019",1,1.01,1,1.01,"27,104,097,511","4,133,411,934"
"Dec 29, 2019",1.01,1.03,0.999667,1,"26,657,374,932","4,125,339,509"
"Dec 28, 2019",1.01,1.01,0.999761,1,"25,847,515,455","4,109,307,163"
"Dec 27, 2019",1,1.02,0.994478,1.01,"26,617,288,047","4,131,884,754"
"Dec 26, 2019",1,1.02,0.993212,1,"27,081,119,738","4,124,425,332"
"Dec 25, 2019",1.01,1.04,0.991506,1,"24,502,862,889","4,127,192,621"
"Dec 24, 2019",1.01,1.03,0.99895,1.01,"27,906,575,904","4,143,319,248"
"Dec 23, 2019",1,1.01,0.993842,1.01,"31,988,935,316","4,157,901,176"
