Date,Open*,High,Low,Close**,Volume,Market Cap
"Jan 26, 2020",0.016193,0.016828,0.016109,0.016804,"1,255,315,356","1,120,496,341"
"Jan 25, 2020",0.016426,0.016426,0.016023,0.016199,"1,147,617,479","1,080,211,145"
"Jan 24, 2020",0.016263,0.016564,0.015761,0.016411,"1,237,593,967","1,094,331,823"
"Jan 23, 2020",0.017365,0.017391,0.016046,0.016253,"1,238,646,077","1,083,772,062"
"Jan 22, 2020",0.017307,0.017438,0.017094,0.017353,"1,180,207,766","1,157,163,890"
"Jan 21, 2020",0.016618,0.017308,0.016535,0.017308,"1,239,081,715","1,154,150,117"
"Jan 20, 2020",0.016613,0.016745,0.016238,0.016626,"1,266,246,610","1,108,644,194"
"Jan 19, 2020",0.017724,0.018065,0.016263,0.01662,"1,309,357,592","1,108,254,028"
"Jan 18, 2020",0.017674,0.018094,0.017319,0.017716,"1,385,173,971","1,181,324,710"
"Jan 17, 2020",0.017197,0.018068,0.017019,0.017666,"1,420,514,220","1,177,998,610"
"Jan 16, 2020",0.017292,0.017346,0.016246,0.017119,"1,333,108,083","1,141,554,643"
"Jan 15, 2020",0.016729,0.018059,0.016324,0.017284,"1,462,008,167","1,152,526,479"
"Jan 14, 2020",0.014707,0.016923,0.014696,0.01672,"1,466,195,336","1,114,931,863"
"Jan 13, 2020",0.014975,0.015045,0.01459,0.014706,"1,067,644,896","980,637,605"
"Jan 12, 2020",0.014619,0.015004,0.014514,0.014976,"1,151,253,021","998,598,083"
"Jan 11, 2020",0.014624,0.014929,0.014501,0.014614,"1,176,009,007","974,520,532"
"Jan 10, 2020",0.014064,0.014764,0.013732,0.014614,"1,156,355,120","974,492,902"
"Jan 09, 2020",0.014067,0.014109,0.013819,0.014063,"943,917,224","937,735,548"
"Jan 08, 2020",0.014378,0.014623,0.013886,0.014069,"1,120,252,261","938,166,612"
"Jan 07, 2020",0.014594,0.014741,0.01421,0.014373,"1,120,168,579","958,436,352"
"Jan 06, 2020",0.013617,0.014548,0.013601,0.014548,"1,204,485,570","970,098,321"
"Jan 05, 2020",0.013531,0.013913,0.013522,0.013623,"1,079,591,214","908,402,722"
"Jan 04, 2020",0.01345,0.013534,0.01331,0.013521,"991,868,126","901,595,465"
"Jan 03, 2020",0.012887,0.013524,0.012772,0.013435,"1,109,470,187","895,850,741"
"Jan 02, 2020",0.013254,0.013254,0.012809,0.01287,"999,867,628","858,205,202"
"Jan 01, 2020",0.013294,0.013388,0.013193,0.01325,"977,215,885","883,513,371"
"Dec 31, 2019",0.013406,0.01349,0.013154,0.013306,"1,065,550,361","887,251,274"
"Dec 30, 2019",0.013744,0.013989,0.013323,0.0134,"1,180,670,788","893,567,953"
"Dec 29, 2019",0.013504,0.013925,0.013433,0.013743,"1,090,566,660","916,441,897"
"Dec 28, 2019",0.013297,0.013788,0.013289,0.013515,"1,159,949,303","901,199,434"
"Dec 27, 2019",0.013411,0.013454,0.013221,0.0133,"1,113,460,814","886,873,123"
"Dec 26, 2019",0.013351,0.013701,0.013259,0.013412,"1,111,971,331","894,352,282"
"Dec 25, 2019",0.013647,0.013647,0.013175,0.013339,"1,074,051,749","889,447,723"
"Dec 24, 2019",0.013842,0.013974,0.013411,0.013633,"1,184,108,108","909,069,238"
"Dec 23, 2019",0.014918,0.015227,0.013782,0.013843,"1,237,088,083","923,076,121"
"Dec 22, 2019",0.013595,0.015015,0.013595,0.014913,"1,319,603,647","994,421,661"
"Dec 21, 2019",0.013465,0.013601,0.013339,0.013601,"1,104,610,705","906,953,230"
"Dec 20, 2019",0.013082,0.013553,0.012956,0.013464,"1,189,193,477","897,838,784"
"Dec 19, 2019",0.013387,0.013511,0.012756,0.013078,"1,176,707,542","872,088,970"
"Dec 18, 2019",0.01246,0.013477,0.012311,0.013376,"1,277,690,945","891,971,388"
"Dec 17, 2019",0.013497,0.013511,0.01233,0.012478,"1,090,326,003","832,037,848"
"Dec 16, 2019",0.014026,0.014046,0.013353,0.013489,"1,114,277,015","899,493,259"
"Dec 15, 2019",0.013937,0.014154,0.013794,0.014028,"1,025,255,094","935,432,754"
"Dec 14, 2019",0.01409,0.014588,0.013913,0.013942,"969,812,672","929,705,550"
"Dec 13, 2019",0.013862,0.014228,0.013717,0.014098,"973,273,278","940,063,554"
"Dec 12, 2019",0.014185,0.0142,0.013527,0.013862,"1,001,541,934","924,336,244"
"Dec 11, 2019",0.014159,0.014374,0.014103,0.014179,"919,584,735","945,493,907"
"Dec 10, 2019",0.014459,0.014499,0.014097,0.014153,"920,910,088","943,760,869"
"Dec 09, 2019",0.014729,0.014768,0.014387,0.014469,"945,176,795","964,836,090"
"Dec 08, 2019",0.0146,0.014822,0.014505,0.014754,"909,202,289","983,813,078"
"Dec 07, 2019",0.01471,0.014852,0.01459,0.014595,"932,823,180","973,196,410"
"Dec 06, 2019",0.014615,0.014724,0.014494,0.014708,"1,016,590,546","980,792,334"
"Dec 05, 2019",0.014429,0.01495,0.014297,0.014606,"1,063,061,041","973,956,439"
"Dec 04, 2019",0.015246,0.015255,0.014209,0.014428,"1,017,108,758","962,101,784"
"Dec 03, 2019",0.015265,0.015578,0.015038,0.015251,"847,268,484","1,016,960,380"
"Dec 02, 2019",0.015944,0.015992,0.015166,0.015247,"1,078,642,608","1,016,686,848"
"Dec 01, 2019",0.01551,0.016066,0.015138,0.01595,"1,221,749,577","1,063,601,685"
