Date,Open*,High,Low,Close**,Volume,Market Cap
"Jan 26, 2020",61.51,64.43,60.96,63.87,"51,959,186","1,112,450,844"
"Jan 25, 2020",61.76,62.46,60,61.52,"41,758,021","1,071,458,289"
"Jan 24, 2020",62.61,62.94,58.16,61.76,"65,482,396","1,075,604,864"
"Jan 23, 2020",65.05,65.21,61.3,62.53,"60,781,828","1,088,895,965"
"Jan 22, 2020",65.95,66.34,64.43,65.03,"59,334,379","1,132,354,078"
"Jan 21, 2020",64.98,66.77,64.34,65.96,"57,432,225","1,148,429,768"
"Jan 20, 2020",65.16,66.45,62.46,64.99,"62,026,473","1,131,394,984"
"Jan 19, 2020",67.23,69.28,63.09,65.13,"71,810,753","1,133,678,611"
"Jan 18, 2020",69.09,70.83,66.4,67.19,"83,759,887","1,169,497,764"
"Jan 17, 2020",65.69,71.93,64.11,69.18,"118,624,802","1,203,980,723"
"Jan 16, 2020",68.33,68.8,62.65,65.68,"118,716,552","1,143,043,009"
"Jan 15, 2020",62.77,68.83,62.08,68.34,"166,405,671","1,189,205,049"
"Jan 14, 2020",58.01,63.04,57.83,62.82,"113,675,912","1,093,113,235"
"Jan 13, 2020",59.3,59.33,56.79,58.01,"58,833,704","1,009,224,837"
"Jan 12, 2020",58.45,59.87,57.6,59.32,"52,045,488","1,032,093,745"
"Jan 11, 2020",58.52,63.98,58.07,58.45,"94,891,787","1,016,794,773"
"Jan 10, 2020",59.18,59.46,57.25,58.57,"65,556,437","1,018,860,318"
"Jan 09, 2020",59.49,59.79,57.14,59.2,"64,810,309","1,029,615,123"
"Jan 08, 2020",58.77,59.81,56.11,59.46,"69,698,036","1,034,174,394"
"Jan 07, 2020",58.96,59.86,55.87,58.82,"71,803,694","1,022,853,094"
"Jan 06, 2020",54.09,58.99,54,58.97,"72,292,283","1,025,427,626"
"Jan 05, 2020",50.54,54.78,50.54,54.1,"51,316,114","940,587,960"
"Jan 04, 2020",51.05,51.55,50.02,50.54,"61,952,234","878,616,620"
"Jan 03, 2020",45.64,51.98,45.64,51.09,"145,826,653","888,197,074"
"Jan 02, 2020",45.76,46.21,44.4,45.75,"81,645,163","795,254,543"
"Jan 01, 2020",44.58,45.96,44.5,45.75,"75,903,149","795,254,586"
"Dec 31, 2019",46.5,46.52,44.57,44.57,"61,657,735","774,583,377"
"Dec 30, 2019",46.84,47.06,46.01,46.5,"66,565,171","808,064,736"
"Dec 29, 2019",45.52,47.78,45.39,46.83,"90,219,027","813,746,411"
"Dec 28, 2019",45.33,45.95,45.06,45.55,"90,986,577","791,427,855"
"Dec 27, 2019",45.3,46.07,44.86,45.34,"92,836,745","787,813,260"
"Dec 26, 2019",46.51,46.63,44.86,45.31,"89,292,487","787,092,855"
"Dec 25, 2019",46.21,47.1,45.59,46.5,"86,017,236","807,752,120"
"Dec 24, 2019",47.34,48.39,46.07,46.21,"104,538,333","802,622,128"
"Dec 23, 2019",47.47,48.77,47.15,47.34,"112,661,124","822,261,384"
"Dec 22, 2019",45.53,48.1,45.48,47.46,"119,713,580","824,143,649"
"Dec 21, 2019",47.05,47.17,45.31,45.53,"106,102,856","790,648,468"
"Dec 20, 2019",47.82,47.91,46.51,47.06,"102,434,254","817,101,658"
"Dec 19, 2019",47.97,49.25,46.17,47.87,"125,632,136","831,035,349"
"Dec 18, 2019",45.06,48.73,44.39,47.93,"115,846,058","832,140,473"
"Dec 17, 2019",49.45,49.68,44.65,44.94,"101,487,732","780,188,465"
"Dec 16, 2019",50.92,51.25,48.85,49.45,"101,870,933","858,311,304"
"Dec 15, 2019",51.63,52.11,50.12,50.92,"104,854,859","883,861,446"
"Dec 14, 2019",52.65,52.76,51.33,51.59,"98,556,824","895,389,948"
"Dec 13, 2019",53.29,53.45,52.37,52.62,"102,891,717","913,112,386"
"Dec 12, 2019",53.04,54.09,52.5,53.31,"114,782,983","924,956,146"
"Dec 11, 2019",53,53.93,52.83,53.07,"131,916,995","920,735,498"
"Dec 10, 2019",54.38,54.83,52.57,53.01,"164,652,345","919,609,543"
"Dec 09, 2019",54.25,54.51,53.21,54.31,"131,692,116","942,128,964"
"Dec 08, 2019",54.77,55.43,53.78,54.24,"121,427,914","940,877,036"
"Dec 07, 2019",54.24,55.12,53.72,54.72,"149,451,115","949,127,589"
"Dec 06, 2019",54,55.62,53.79,54.25,"118,978,383","940,756,305"
"Dec 05, 2019",52.99,54.62,52.38,54.01,"148,653,329","936,519,924"
"Dec 04, 2019",53.46,55.36,52.09,53.05,"137,140,588","919,883,214"
"Dec 03, 2019",54.03,55.29,53.43,53.43,"154,822,220","926,301,619"
"Dec 02, 2019",53.6,54.41,52.52,54.03,"113,404,540","936,708,246"
"Dec 01, 2019",54.78,54.8,52.66,53.59,"32,630,309","928,901,683"
"Nov 30, 2019",55.96,56.5,54.18,54.77,"119,581,850","949,244,166"
"Nov 29, 2019",54.04,56.1,53.97,55.95,"144,980,637","969,746,508"
"Nov 28, 2019",55.97,57.14,53.79,54.03,"151,831,340","936,339,074"
"Nov 27, 2019",51.45,57.04,50.61,55.96,"155,100,423","969,727,778"
"Nov 26, 2019",50.23,52.28,49.77,51.72,"159,826,619","896,012,965"
"Nov 25, 2019",48.23,52.17,46.03,50.2,"154,562,442","869,694,513"
"Nov 24, 2019",52.1,52.33,48.22,48.22,"150,228,084","835,374,693"
"Nov 23, 2019",51.27,52.72,50.35,52.11,"172,231,823","902,655,116"
"Nov 22, 2019",54.15,54.95,48.67,51.27,"158,097,540","887,954,799"
"Nov 21, 2019",58.27,58.51,53.55,54.14,"150,665,023","937,720,673"
"Nov 20, 2019",58.96,59.59,57.95,58.25,"179,910,717","1,008,756,964"
"Nov 19, 2019",59.39,60.38,58.29,58.96,"194,201,658","1,020,996,875"
"Nov 18, 2019",62.13,62.6,59.06,59.38,"243,555,437","1,028,026,597"
"Nov 17, 2019",62,63.18,61.7,62.14,"201,294,251","1,075,882,950"
"Nov 16, 2019",61.95,63.02,61.5,62.01,"167,735,054","1,073,410,014"
"Nov 15, 2019",65.55,65.78,61.95,61.96,"149,260,331","1,072,467,888"
"Nov 14, 2019",65.32,65.88,64.36,65.54,"203,792,696","1,134,327,321"
"Nov 13, 2019",62.25,65.71,62.11,65.33,"208,429,249","1,130,631,621"
"Nov 12, 2019",61.93,65.74,61.88,62.26,"188,591,183","1,076,908,935"
"Nov 11, 2019",63.89,64.22,61.44,61.93,"206,142,758","1,071,172,534"
